FILENAME,CAUSE,r1,r2,r3,r4,r5,r6,r7
20170124_10-03-50_AX017_GT0_L016_C3290_28723_d4_650_SP_EDv38TCLv16_nofft.events.csv,hard to separate in both,12344,10789,11055,10022,5901,3714,
20170124_10-03-50_AX017_GT0_L016_C3290_28723_d4_650_SP_EDv38TCLv16_nofft.events.csv,"""=""",11711,10592,10389,9692,5690,3550,
20170124_10-30-25_AX017_GT0_L016_C3293_23261_d4_650_SP_EDv38TCLv16_nofft.events.csv,hard to separate in both,11225,9873,9577,8768,4909,3482,
20170124_10-30-25_AX017_GT0_L016_C3293_23261_d4_650_SP_EDv38TCLv16_nofft.events.csv,"""=""",10725,9789,8974,8415,4760,3244,
20170124_10-53-05_AX017_GT0_L016_C3299_6635_d4_650_SP_EDv38TCLv16_nofft.events.csv,hard to separate in both,6664,5778,5966,5348,3902,1323,
20170124_10-53-05_AX017_GT0_L016_C3299_6635_d4_650_SP_EDv38TCLv16_nofft.events.csv,"""=""",6112,5524,5286,4970,3659,1159,
20170124_11-28-39_AX017_GT0_L016_C3300_6634_d4_650_SP_EDv38TCLv16_nofft.events.csv,hard to separate in both,7409,6610,6787,6188,2902,3001,
20170130_09-01-46_AX017_GT0_L016_C3280_28004_D4_650_SP_EDv38TCLv16_nofft.events.csv,hard to separate in ch1,26729,23489,22547,20953,12257,7548,
20170130_09-01-46_AX017_GT0_L016_C3280_28004_D4_650_SP_EDv38TCLv16_nofft.events.csv,"""=""",26082,23520,22459,20972,12205,7584,
20170130_09-18-12_AX017_GT0_L016_C3279_28427_D4_650_SP_EDv38TCLv16_nofft.events.csv,strange-fail,57036,37827,27613,22623,16343,4900,
20170130_09-18-12_AX017_GT0_L016_C3279_28427_D4_650_SP_EDv38TCLv16_nofft.events.csv,"""=""",58812,41958,29485,22963,13581,5177,
20170130_09-34-10_AX017_GT0_L016_C3271_29641_D4_650_SP_EDv38TCLv16_nofft.events.csv,hard to separate in both,20873,17124,15975,14217,8557,4343,
20170130_09-34-10_AX017_GT0_L016_C3271_29641_D4_650_SP_EDv38TCLv16_nofft.events.csv,"""=""",22076,18440,16400,14490,8062,4441,
20170130_10-08-08_AX017_GT0_L016_C3288_29956_D4_650_SP_EDv38TCLv16_nofft.events.csv,hard to separate in ch1,66955,42121,46015,29503,21721,6570,
20170130_10-08-08_AX017_GT0_L016_C3288_29956_D4_650_SP_EDv38TCLv16_nofft.events.csv,"""=""",63902,42542,44980,29186,21371,6442,
20170130_10-22-58_AX017_GT0_L016_C3284_21407_D4_650_SP_EDv38TCLv16_nofft.events.csv,hard to separate in ch1,34629,28387,23762,20935,12749,6383,
20170130_10-22-58_AX017_GT0_L016_C3284_21407_D4_650_SP_EDv38TCLv16_nofft.events.csv,"""=""",35325,29437,23730,20788,12426,6423,
20170130_10-37-26_AX017_GT0_L016_C3269_29646_D4_650_SP_EDv38TCLv16_nofft.events.csv,hard to separate in both,38899,29725,23923,20328,7200,10854,
20170130_10-37-26_AX017_GT0_L016_C3269_29646_D4_650_SP_EDv38TCLv16_nofft.events.csv,"""=""",65174,47360,29345,22298,8373,11700,
20160907_10-16-34_AX017_TCL_L002_C177__650_EDv38_nofft.events.csv,strange-fail,24479,23814,9062,9040,4819,3339,
20151031_12-22-40_AX017_TCL_L002_C146_lb_650_EDv38_nofft.events.csv,strange-fail,3984,3320,2559,2175,1648,413,
